Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombre,64,418,430,443,456,468,480,491,504,517,532,548,564,582,602,624,647,671,695,719,743,767,796,825,854,885,912,940,973,1006,1042,1078,1114,1153,1194,1239,1285,1338,1401,1472,1546,1612,1671,1735,1803,1868,1944
Hombre,65,393,406,419,432,445,457,470,482,495,508,522,536,551,569,590,613,636,661,685,710,734,757,785,813,841,870,900,930,961,993,1025,1057,1092,1130,1170,1214,1267,1327,1389,1458,1520,1574,1632,1695,1761,1822
Hombre,66,372,384,396,409,422,435,448,460,473,486,498,509,522,538,556,577,600,625,650,675,699,722,745,772,799,825,857,888,916,945,974,1003,1035,1069,1105,1145,1195,1255,1314,1375,1432,1482,1534,1591,1651,1713
Hombre,67,349,361,372,385,398,411,424,437,449,462,473,483,495,509,525,545,567,591,616,641,665,688,710,732,758,783,811,843,872,899,925,952,980,1010,1043,1078,1124,1181,1240,1297,1346,1392,1441,1492,1546,1602
Hombre,68,327,339,351,363,375,388,401,414,426,438,449,459,470,482,497,514,534,557,581,607,631,652,674,695,716,740,767,796,826,853,879,904,929,956,984,1016,1057,1109,1165,1221,1267,1305,1350,1397,1445,1496
Hombre,69,304,317,329,341,352,364,376,389,402,414,425,435,445,456,469,485,503,524,547,572,595,617,638,659,680,700,725,752,778,807,833,857,881,904,929,957,994,1041,1091,1145,1190,1225,1262,1305,1349,1395
Hombre,70,280,294,306,318,329,340,351,363,376,388,400,410,421,432,444,457,473,492,513,537,559,580,601,622,643,663,684,708,733,758,785,810,833,854,877,900,933,976,1021,1069,1112,1148,1182,1217,1257,1299
Hombre,71,255,270,283,295,306,317,328,339,350,362,374,385,396,408,419,432,446,463,482,504,525,544,565,586,606,626,646,665,688,711,735,762,785,806,826,847,876,915,956,999,1037,1070,1104,1136,1169,1205
Hombre,72,231,246,260,272,284,295,305,315,326,337,348,360,372,384,396,408,421,436,453,473,492,509,528,549,569,589,608,626,644,666,689,713,738,759,778,797,823,857,893,932,965,995,1026,1058,1087,1117
Hombre,73,209,223,237,250,262,273,283,293,302,312,323,334,347,359,372,384,397,410,425,443,459,474,492,511,531,551,570,587,605,622,643,666,687,710,730,747,771,802,834,868,898,923,950,979,1009,1036
Hombre,74,188,201,214,226,238,250,261,270,279,288,298,309,322,335,348,360,373,386,399,414,428,442,457,475,494,513,532,548,565,581,598,619,639,659,680,698,720,749,778,807,833,856,879,905,932,958
Hombre,75,168,179,190,202,214,226,237,247,256,264,273,284,297,310,323,336,349,361,374,387,399,411,424,440,457,476,493,509,525,540,557,574,593,611,630,650,672,698,724,750,773,792,812,835,859,883
Hombre,76,152,160,170,181,192,203,215,225,234,242,251,261,272,285,298,311,323,336,348,360,371,381,392,406,421,438,455,470,486,501,517,533,548,565,583,599,622,649,673,696,716,732,750,769,788,809
Hombre,77,137,144,151,160,170,181,192,202,212,220,229,239,250,261,273,286,298,311,323,334,344,353,363,374,388,403,418,432,447,462,478,492,506,520,536,552,572,599,622,644,662,676,691,706,723,740
Hombre,78,123,128,134,141,150,159,169,179,189,198,206,216,227,238,249,260,272,285,297,308,317,325,334,345,357,370,383,396,409,424,439,453,467,479,492,506,525,548,572,593,609,622,635,648,662,677
Hombre,79,110,114,119,125,132,140,149,158,167,176,185,195,205,216,226,237,248,259,271,282,291,299,308,317,327,338,349,360,372,386,400,413,427,439,451,463,480,501,522,543,559,571,582,593,605,616
Hombre,80,655,682,712,742,775,806,846,888,934,983,1036,1109,1189,1272,1359,1444,1529,1617,1707,1792,1876,1965,2053,2141,2235,2325,2409,2489,2576,2672,2771,2873,2976,3079,3182,3292,3412,3546,3673,3798,3909,4001,4081,4158,4230,4289
Mujer,0,4911,5041,5164,5274,5367,5441,5489,5520,5552,5589,5619,5628,5630,5631,5631,5628,5624,5619,5614,5605,5627,5687,5742,5785,5818,5837,5844,5848,5851,5856,5855,5839,5821,5805,5796,5785,5811,5887,5974,6062,6127,6197,6287,6373,6457,6527
Mujer,1,4704,4845,4982,5110,5225,5322,5400,5454,5492,5533,5567,5583,5593,5604,5613,5619,5622,5624,5625,5624,5642,5686,5735,5777,5806,5828,5840,5839,5828,5819,5809,5793,5777,5760,5747,5743,5780,5856,5938,6028,6091,6149,6229,6309,6390,6464
Mujer,2,4575,4718,4862,5001,5132,5249,5349,5430,5487,5528,5562,5579,5589,5603,5617,5628,5636,5641,5645,5650,5670,5701,5735,5775,5807,5828,5848,5856,5842,5821,5796,5771,5754,5739,5721,5710,5756,5843,5922,6005,6068,6121,6190,6261,6334,6406
Mujer,3,4456,4598,4744,4889,5030,5162,5282,5383,5467,5525,5558,5575,5586,5600,5616,5631,5644,5653,5661,5667,5686,5715,5739,5766,5799,5826,5848,5866,5864,5841,5804,5765,5740,5722,5704,5688,5727,5822,5912,5991,6045,6097,6162,6223,6287,6351
